MacroPlot Name,Date,Index,Transect,Point,Tape,Order,Height,CanopyLayer,Status,Comment,UV1,UV2,UV3,NumTran,TranLen,NumPtsTran,Offset,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species Symbol,Visited,
A288-00-1352,7/18/2005 10:28:00 AM,,,,,,,,,,,,,1,30,60,0,,,,,,,,True,
A288-00-1352,7/18/2005 10:28:00 AM,1,1,1,0.5,1,,,L,,,, VegPoint,,,,,,,,,,,LEPAD,,
A288-00-1352,7/18/2005 10:28:00 AM,2,1,1,0.5,2,,,X,,,, VegPoint,,,,,,,,,,,DUFF,,
A288-00-1352,7/18/2005 10:28:00 AM,3,1,2,1,1,,,L,,,, VegPoint,,,,,,,,,,,LEPAD,,
A288-00-1352,7/18/2005 10:28:00 AM,4,1,2,1,2,,,X,,,, VegPoint,,,,,,,,,,,10HR,,
A288-00-1352,7/18/2005 10:28:00 AM,5,1,3,1.5,1,,,L,,,, VegPoint,,,,,,,,,,,RUCH,,
A288-00-1352,7/18/2005 10:28:00 AM,6,1,3,1.5,2,,,X,,,, VegPoint,,,,,,,,,,,DUFF,,
A288-00-1352,7/18/2005 10:28:00 AM,7,1,4,2,1,,,L,,,, VegPoint,,,,,,,,,,,ERVA4,,
A288-00-1352,7/18/2005 10:28:00 AM,8,1,4,2,2,,,L,,,, VegPoint,,,,,,,,,,,RUCH,,
A288-00-1352,7/18/2005 10:28:00 AM,9,1,4,2,3,,,X,,,, VegPoint,,,,,,,,,,,DUFF,,
A288-00-1352,7/18/2005 10:28:00 AM,10,1,5,2.5,1,,,L,,,, VegPoint,,,,,,,,,,,ERVA4,,
A288-00-1352,7/18/2005 10:28:00 AM,11,1,5,2.5,2,,,L,,,, VegPoint,,,,,,,,,,,VAUL,,
A288-00-1352,7/18/2005 10:28:00 AM,12,1,5,2.5,3,,,L,,,, VegPoint,,,,,,,,,,,RUCH,,
A288-00-1352,7/18/2005 10:28:00 AM,13,1,5,2.5,4,,,L,,,, VegPoint,,,,,,,,,,,VAOX,,
A288-00-1352,7/18/2005 10:28:00 AM,14,1,5,2.5,5,,,L,,,, VegPoint,,,,,,,,,,,SPHAG2,,
A288-00-1352,7/18/2005 10:28:00 AM,15,1,6,3,1,,,L,,,, VegPoint,,,,,,,,,,,LEPAD,,
A288-00-1352,7/18/2005 10:28:00 AM,16,1,6,3,2,,,L,,,, VegPoint,,,,,,,,,,,VAUL,,
A288-00-1352,7/18/2005 10:28:00 AM,17,1,6,3,3,,,L,,,, VegPoint,,,,,,,,,,,VAOX,,
A288-00-1352,7/18/2005 10:28:00 AM,18,1,6,3,4,,,X,,,, VegPoint,,,,,,,,,,,LTR,,
A288-00-1352,7/18/2005 10:28:00 AM,19,1,7,3.5,1,,,L,,,, VegPoint,,,,,,,,,,,RUCH,,
A288-00-1352,7/18/2005 10:28:00 AM,20,1,7,3.5,2,,,L,,,, VegPoint,,,,,,,,,,,LEPAD,,
A288-00-1352,7/18/2005 10:28:00 AM,21,1,7,3.5,3,,,L,,,, VegPoint,,,,,,,,,,,SPHAG2,,
A288-00-1352,7/18/2005 10:28:00 AM,22,1,8,4,1,,,L,,,, VegPoint,,,,,,,,,,,ERVA4,,
A288-00-1352,7/18/2005 10:28:00 AM,23,1,8,4,2,,,L,,,, VegPoint,,,,,,,,,,,LEPAD,,
A288-00-1352,7/18/2005 10:28:00 AM,24,1,8,4,3,,,L,,,, VegPoint,,,,,,,,,,,VAVI,,
A288-00-1352,7/18/2005 10:28:00 AM,25,1,8,4,4,,,L,,,, VegPoint,,,,,,,,,,,VAOX,,
A288-00-1352,7/18/2005 10:28:00 AM,26,1,8,4,5,,,X,,,, VegPoint,,,,,,,,,,,DUFF,,
A288-00-1352,7/18/2005 10:28:00 AM,27,1,9,4.5,1,,,L,,,, VegPoint,,,,,,,,,,,ERVA4,,
A288-00-1352,7/18/2005 10:28:00 AM,28,1,9,4.5,2,,,L,,,, VegPoint,,,,,,,,,,,VAUL,,
A288-00-1352,7/18/2005 10:28:00 AM,29,1,10,5,1,,,X,,,, VegPoint,,,,,,,,,,,DUFF,,
A288-00-1352,7/18/2005 10:28:00 AM,30,1,11,5.5,1,,,L,,,, VegPoint,,,,,,,,,,,ERVA4,,
A288-00-1352,7/18/2005 10:28:00 AM,31,1,11,5.5,2,,,X,,,, VegPoint,,,,,,,,,,,LTR,,
A288-00-1352,7/18/2005 10:28:00 AM,32,1,12,6,1,,,D,,,, VegPoint,,,,,,,,,,,PIMA,,
A288-00-1352,7/18/2005 10:28:00 AM,33,1,12,6,2,,,L,,,, VegPoint,,,,,,,,,,,LEPAD,,
A288-00-1352,7/18/2005 10:28:00 AM,34,1,12,6,3,,,X,,,, VegPoint,,,,,,,,,,,LTR,,
