MacroPlot Name,Date,Index,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,MinCovLevel,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species Symbol,Visited,
DENA-WIG-07,7/29/2014 9:59:55 AM,,,,,,,,,,,,0.02,J. Barnes; J. Northway; J. Nichols; K. Mitchell,J. Northway,Height to Live Crown (cm) (Trees Only),Height to Ladder Fuel (cm) (Trees Only),Average DBH (cm) (Trees Only),,,True,
DENA-WIG-07,7/29/2014 9:59:55 AM,-2147483648,L,,R,0.5,,,,,,,,,,,,,,LEPA11,,
DENA-WIG-07,7/29/2014 9:59:55 AM,-2147483647,L,,R,1,,,,,,,,,,,,,,VAUL,,
DENA-WIG-07,7/29/2014 9:59:55 AM,-2147483646,L,,R,15,,,,,,,,,,,,,,RUCH,,
DENA-WIG-07,7/29/2014 9:59:55 AM,-2147483645,L,,R,5,,,,,,,,,,,,,,CABI5,,
DENA-WIG-07,7/29/2014 9:59:55 AM,-2147483644,L,,R,40,,,,,,,,,,,,,,ERVA4,,
DENA-WIG-07,7/29/2014 9:59:55 AM,-2147483643,L,,R,0.5,,,,,,,,,,,,,,PEDIC,,
DENA-WIG-07,7/29/2014 9:59:55 AM,-2147483642,L,,R,1,,,,,,,,,,,,,,CAAQ,,
DENA-WIG-07,7/29/2014 9:59:55 AM,-2147483641,L,,,70,,,,,,,,,,,,,,SPHAG2,,
DENA-WIG-07,7/29/2014 9:59:55 AM,-2147483640,L,,,0.5,,,,,,,,,,,,,,CEPU12,,
DENA-WIG-07,7/29/2014 9:59:55 AM,-2147483639,L,,,0.5,,,,,,,,,,,,,,POJU70,,
DENA-WIG-07,7/29/2014 9:59:55 AM,-2147483638,L,,,0.5,,,,,,,,,,,,,,CLADI3,,
DENA-WIG-07,7/29/2014 9:59:55 AM,-2147483637,X,,,15,,,,,,,,,,,,,,DM,,
DENA-WIG-07,7/29/2014 9:59:55 AM,-2147483636,X,,,15,,,,,,,,,,,,,,UD,,
A288-00-1352,7/18/2005 10:28:00 AM,,,,,,,,,,,,,,,,,,,,True,
A288-00-1352,7/18/2005 10:28:00 AM,1,L,,,4.5,,,,, OcularVeg,,,,,,,,,VAOX,,
A288-00-1352,7/18/2005 10:28:00 AM,2,L,,,17,,,,, OcularVeg,,,,,,,,,ERVA4,,
A288-00-1352,7/18/2005 10:28:00 AM,3,L,,,4.5,,,,, OcularVeg,,,,,,,,,EMNI,,
A288-00-1352,7/18/2005 10:28:00 AM,4,L,,,4.5,,,,, OcularVeg,,,,,,,,,CLADI3,,
A288-00-1352,7/18/2005 10:28:00 AM,5,L,,,17,,,,, OcularVeg,,,,,,,,,LEPA11,,
A288-00-1352,7/18/2005 10:28:00 AM,6,L,,,4.5,,,,, OcularVeg,,,,,,,,,HYSP70,,
A288-00-1352,7/18/2005 10:28:00 AM,7,L,,,4.5,,,,, OcularVeg,,,,,,,,,PIMA,,
A288-00-1352,7/18/2005 10:28:00 AM,8,L,,,4.5,,,,, OcularVeg,,,,,,,,,VAUL,,
A288-00-1352,7/18/2005 10:28:00 AM,9,L,,,4.5,,,,, OcularVeg,,,,,,,,,VAVI,,
A288-00-1352,7/18/2005 10:28:00 AM,10,L,,,4.5,,,,, OcularVeg,,,,,,,,,LALA,,
A288-00-1352,7/18/2005 10:28:00 AM,11,L,,,4.5,,,,, OcularVeg,,,,,,,,,LICHEN,,
A288-00-1352,7/18/2005 10:28:00 AM,12,L,,,4.5,,,,, OcularVeg,,,,,,,,,BENA,,
A288-00-1352,7/18/2005 10:28:00 AM,13,L,,,4.5,,,,, OcularVeg,,,,,,,,,GRASS,,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,,,,,,,,,,,,,,,,,,,,True,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,-2147483648,L,,,15,,,,,,,,,,,,,,BENA,,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,-2147483647,L,,,45,,,,,,,,,,,,,,LEPAD,,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,-2147483646,L,,,15,,,,,,,,,,,,,,VAVI,,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,-2147483645,L,,,0.05,,,,,,,,,,,,,,EMNI,,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,-2147483644,L,,,1,,,,,,,,,,,,,,RUCH,,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,-2147483643,L,,,0.05,,Pingicula,,,,,,,,,,,,PIVI,,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,-2147483642,L,,,10,,,,,,,,,,,,,,CABI5,,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,-2147483641,L,,,1,,,,,,,,,,,,,,PEDIC,,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,-2147483640,L,,,10,,,,,,,,,,,,,,MOSS,,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,-2147483639,L,,,38,,,,,,,,,,,,,,SPHAG2,,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,-2147483638,L,,,5,,,,,,,,,,,,,,POJU70,,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,-2147483637,L,,,10,,,,,,,,,,,,,,AULAC2,,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,-2147483636,L,,,1,,,,,,,,,,,,,,CLADI3,,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,-2147483635,L,,,0.05,,,,,,,,,,,,,,CLADO3,,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,-2147483634,L,,,1,,,,,,,,,,,,,,PEAP60,,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,-2147483633,L,,,0.05,,,,,,,,,,,,,,CETRA2,,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,-2147483632,X,,,4,,,,,,,,,,,,,,LTRH,,
