MacroPlot Name,Date,Index,Transect,Subbelt,Status,SizeCl,AgeCl,Count,Height,SubFrac,Comment,UV1,UV2,UV3,NumTran,NumSubbelt,TranLen,TranWid,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species Symbol,Visited,
A288-00-1352,7/18/2005 10:28:00 AM,,,,,,,,,,,,,,1,,30,1,30,,,,,,,,True,
A288-00-1352,7/18/2005 10:28:00 AM,1,2,1,L,,X,0,,1,,,, ShrubDensity,,,,,,,,,,,,UNKN_100,,
A288-00-1352,7/18/2005 10:28:00 AM,2,1,1,D,2.5,X,1,,1,,,, TreeBelt,,,,,,,,,,,,PIMA,,
A288-00-1352,7/18/2005 10:28:00 AM,3,1,1,L,2.5,X,1,,1,,,, TreeBelt,,,,,,,,,,,,PIMA,,
A288-00-1352,7/18/2005 10:28:00 AM,4,1,1,D,2.5,X,1,,1,,,, TreeBelt,,,,,,,,,,,,LALA,,
A391-90-54,7/6/2005 1:15:36 PM,,,,,,,,,,,,,,1,,30,1,30,,,,,,,,True,
A391-90-54,7/6/2005 1:15:36 PM,1,2,1,L,,X,1,0.25,1,,1,0,0 ShrubDensity,,,,,,,,,,,,SAPU15,,
A391-90-54,7/6/2005 1:15:36 PM,2,2,1,L,,X,2,2,1,,1,1,0 ShrubDensity,,,,,,,,,,,,SAPU15,,
A391-90-54,7/6/2005 1:15:36 PM,3,2,1,L,,X,2,0.75,1,,1,1,0 ShrubDensity,,,,,,,,,,,,SAPU15,,
A391-90-54,7/6/2005 1:15:36 PM,4,1,1,D,7.5,X,1,,1,,,, TreeBelt,,,,,,,,,,,,PIMA,,
A391-90-54,7/6/2005 1:15:36 PM,5,1,2,L,2.5,X,2,,1,,,, TreeBelt,,,,,,,,,,,,LALA,,
A391-90-54,7/18/2006 3:31:20 PM,,,,,,,,,,,,,,1,,30,1,30,,,,,,,,True,
A391-90-54,7/18/2006 3:31:20 PM,1,2,1,L,,X,3,0.75,1,,2,1, ShrubDensity,,,,,,,,,,,,SARI4,,
A391-90-54,7/18/2006 3:31:20 PM,2,2,1,L,,X,3,0.75,1,,2,1,0 ShrubDensity,,,,,,,,,,,,SAAR3,,
A391-90-54,7/18/2006 3:31:20 PM,3,2,1,L,,X,9,0.25,1,,6,3,1 ShrubDensity,,,,,,,,,,,,SAAR3,,
A391-90-54,7/18/2006 3:31:20 PM,4,2,1,L,,X,2,0.25,1,,0,2,0 ShrubDensity,,,,,,,,,,,,SABE2,,
