MacroPlot Name,Date,Index,Transect,Quadrat,Status,SizeCl,AgeCl,Count,Height,SubFrac,Comment,UV1,UV2,UV3,NumTran,NumQuadTran,QuadLen,QuadWid,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species Symbol,Visited,
DENA-WIG-07,7/29/2014 9:59:55 AM,,,,,,,,,,,,,,1,4,2,2,4,J. Barnes; J. Northway; J. Nichols; K. Mitchell,J. Northway,,,,,,True,
DENA-WIG-07,7/29/2014 9:59:55 AM,-2147483648,1,4,X,,,0,,1,no Seedlings,,,,,,,,,,,,,,,UNKN_100,,
DENA-WIG-07,7/29/2014 9:59:55 AM,-2147483647,1,11,X,,,0,,1,no Seedlings,,,,,,,,,,,,,,,UNKN_100,,
DENA-WIG-07,7/29/2014 9:59:55 AM,-2147483646,1,6,X,,,0,,1,no Seedlings,,,,,,,,,,,,,,,UNKN_100,,
DENA-WIG-07,7/29/2014 9:59:55 AM,-2147483645,1,13,X,,,0,,1,no Seedlings,,,,,,,,,,,,,,,UNKN_100,,
A288-00-1352,7/18/2005 10:28:00 AM,,,,,,,,,,,,,,1,3,1,1,1,,,,,,,,True,
A288-00-1352,7/18/2005 10:28:00 AM,1,1,15,L,,I,16,,1,,,, TreeSeedling,,,,,,,,,,,,PIMA,,
A288-00-1352,7/18/2005 10:28:00 AM,2,1,27,L,,I,2,,1,,,, TreeSeedling,,,,,,,,,,,,PIMA,,
A288-00-1352,7/18/2005 10:28:00 AM,3,1,3,L,,I,1,,1,,,, TreeSeedling,,,,,,,,,,,,PIMA,,
A288-00-1352,7/18/2005 10:28:00 AM,4,1,15,L,,I,4,,1,,,, TreeSeedling,,,,,,,,,,,,LALA,,
A391-90-54,7/6/2005 1:15:36 PM,,,,,,,,,,,,,,1,3,1,1,1,,,,,,,,True,
A391-90-54,7/6/2005 1:15:36 PM,1,1,15,L,,M,1,,1,,,, TreeSeedling,,,,,,,,,,,,PIMA,,
A391-90-54,7/6/2005 1:15:36 PM,2,1,3,X,,X,0,,1,no seedlings,,,,,,,,,,,,,,,UNKN_100,,
A391-90-54,7/6/2005 1:15:36 PM,3,1,27,X,,X,0,,1,no seedlings,,,,,,,,,,,,,,,UNKN_100,,
A391-90-54,7/18/2006 3:31:20 PM,,,,,,,,,,,,,,1,3,1,1,1,,,,,,,,True,
A391-90-54,7/18/2006 3:31:20 PM,1,1,15,L,,M,1,,1,,.5,, TreeSeedling,,,,,,,,,,,,PIMA,,
A391-90-54,7/18/2006 3:31:20 PM,2,1,3,X,,X,0,,1,no seedlings,,,,,,,,,,,,,,,UNKN_100,,
A391-90-54,7/18/2006 3:31:20 PM,3,1,27,X,,X,0,,1,no seedlings,,,,,,,,,,,,,,,UNKN_100,,
A391-90-54,7/27/2011 1:51:02 PM,,,,,,,,,,,,,,1,1,30,1,30,,,,,,,,True,
A391-90-54,7/27/2011 1:51:02 PM,-2147483648,1,1,L,SE,M,5,,1,,,,,,,,,,,,,,,,PIMA,,
LACL-CUR-F04,6/18/2014 10:29:30 AM,,,,,,,,,,,,,,1,3,0,0,3.14,J. Barnes; B. West; L. Schomaker,J. Northway,,,,,,True,
LACL-CUR-F04,6/18/2014 10:29:30 AM,-2147483648,1,3,X,,,0,,1,No Seedlings,,,,,,,,,,,,,,,UNKN_100,,
LACL-CUR-F04,6/18/2014 10:29:30 AM,-2147483647,1,14,X,,,0,,1,No Seedlings,,,,,,,,,,,,,,,UNKN_100,,
LACL-CUR-F04,6/18/2014 10:29:30 AM,-2147483646,1,27,X,,,0,,1,No Seedlings,,,,,,,,,,,,,,,UNKN_100,,
DENA-WIG-02,7/29/2014 2:09:27 PM,,,,,,,,,,,,,,1,4,2,2,4,J. Northway; K. Mitchell,J. Northway,,,,,,True,
DENA-WIG-02,7/29/2014 2:09:27 PM,-2147483648,1,4,X,,,0,,1,No Seedlings,,,,,,,,,,,,,,,UNKN_100,,
DENA-WIG-02,7/29/2014 2:09:27 PM,-2147483647,1,11,X,,,0,,1,No Seedlings,,,,,,,,,,,,,,,UNKN_100,,
DENA-WIG-02,7/29/2014 2:09:27 PM,-2147483646,1,6,D,SE,M,1,,1,,,,,,,,,,,,,,,,PIMA,,
DENA-WIG-02,7/29/2014 2:09:27 PM,-2147483645,1,13,X,,,0,,1,No Seedlings,,,,,,,,,,,,,,,UNKN_100,,
DENA-A288-PP5,7/19/2007 3:48:36 PM,,,,,,,,,,,,,,1,3,2,1,2,,,,,,,,True,
DENA-A288-PP5,7/19/2007 3:48:36 PM,-2147483648,1,3,L,SE,I,1,,1,,,,,,,,,,,,,,,,PIMA,,
DENA-A288-PP5,7/19/2007 3:48:36 PM,-2147483647,1,15,L,SE,I,1,,1,,,,,,,,,,,,,,,,PIMA,,
DENA-A288-PP5,7/19/2007 3:48:36 PM,-2147483646,1,27,L,SE,I,1,,1,,,,,,,,,,,,,,,,PIMA,,
DENA-HQ-TX-08,6/24/2021 2:26:42 PM,,,,,,,,,,,,,,1,3,0,0,3.14,J Barnes; K Gates; J OConnor,J OConnor,Quadrat Radius (if Circular Plot) (m),,,,,True,
DENA-HQ-TX-08,6/24/2021 2:26:42 PM,-2147483648,1,4,L,SE,M,1,,1,,1,,,,,,,,,,,,,,PIGL,,
DENA-HQ-TX-08,6/24/2021 2:26:42 PM,-2147483647,1,8,L,SE,I,2,,1,,1,,,,,,,,,,,,,,PIGL,,
DENA-HQ-TX-08,6/24/2021 2:26:42 PM,-2147483646,1,8,L,SE,M,7,,1,,1,,,,,,,,,,,,,,PIGL,,
DENA-HQ-TX-08,6/24/2021 2:26:42 PM,-2147483645,1,12,L,SE,M,2,,1,,1,,,,,,,,,,,,,,PIGL,,
DENA-HQ-TX-08,6/22/2023 12:09:39 PM,,,,,,,,,,,,,,1,3,0,0,3.14,,,Quadrat Radius (if Circular Plot) (m),,,,,True,
DENA-B288-Z7,7/11/2007 3:21:18 PM,,,,,,,,,,,,,,1,3,2,1,2,,,,,,,,True,
DENA-B288-Z7,7/11/2007 3:21:18 PM,-2147483648,1,3,X,X,X,0,,1,no seedlings,,,,,,,,,,,,,,,UNKN_100,,
DENA-B288-Z7,7/11/2007 3:21:18 PM,-2147483647,1,15,L,SE,I,7,,1,,,,,,,,,,,,,,,,PIMA,,
DENA-B288-Z7,7/11/2007 3:21:18 PM,-2147483646,1,27,X,X,X,0,,1,no seedlings,,,,,,,,,,,,,,,UNKN_100,,
DENA-A274-G1,7/8/2007 11:44:54 AM,,,,,,,,,,,,,,1,3,2,1,2,,,,,,,,True,
DENA-A274-G1,7/8/2007 11:44:54 AM,-2147483648,1,3,X,X,X,0,,1,no seedlings,,,,,,,,,,,,,,,UNKN_100,,
DENA-A274-G1,7/8/2007 11:44:54 AM,-2147483647,1,15,X,X,X,0,,1,no seedlings,,,,,,,,,,,,,,,UNKN_100,,
DENA-A274-G1,7/8/2007 11:44:54 AM,-2147483646,1,27,X,X,X,0,,1,no seedlings,,,,,,,,,,,,,,,UNKN_100,,
DENA-A274-G1,8/17/2016 8:46:09 AM,,,,,,,,,,,,,,1,3,2,1,2,Rachel Loehman,J. Hrobak,,,,,,True,
