Macroplot,SampleEventDate,SampleEventTeam,SampleEventComment,MonStatusOrd,MonStatus,LegacyMonStatus,Purpose,LocatedBy,Type,Latitude,Longitude,UTM_X,UTM_Y,UTM_Zone,Datum,PDOP,Precision,DateIn,FutureVisit,DateOut,Elevation,ElevationUnits,Azimuth,Aspect,SlopeHill,SlopeTransect,StartPoint,Directions,Comments,MetaData,UV1,UV2,UV3,UV4,UV5,UV6,UV7,UV8
"127-A001",,"","",,"","","Pre- and Post- Fire Effects (PPF)","Trimble 2005 GeoXH","Control",67.782992,-162.33548,,,"","NAD83 (2011)",0,0.5,6/23/2004,,,285,"ft",351,210,1,1,"Above listed longitude and latitude are for 0 M end of plot.    Coordinates for 30M end: 67.783254  x  -162.335585  (Collected in 2013)    Plot Markers:  Rebar at 0m and 30m ends.","Declination: 17 E    0m end is on downhill side of transect.","","Unit:  MACROPLOT,   Mode:	Project Management  Specific Location: “User Variables” Tab	  UV Fields: 			  UV1	Park Unit (e.g. YUCH, DENA, WRST)  UV2	Pre-Fire Viereck Class Code   UV3	Fire Year (year of most recent fire occurrence) or Treatment Year   UV4	Fire Name and/or Number.    UV5 	Plot Marked: (yes, no, or unknown)   UV6	Marker Type: (Wooden Stake, Rebar, etc.)  ______________________________________________________________________________  Unit:  				SAMPLING EVENT   Mode:				Project management  Specific Location:		Properties Tab  Datasheet Location:  		AKRO General Site Information Datasheet.    UV Fields:  			UV1 	Viereck Vegetation Class Current Year   				UV2 	“Fire Evidence” “Old Fire Evidence” “No Fire Evidence”  				UV3 	 Soil Moisture: “Wet” or “Moist” or “Dry”  ______________________________________________________________________________  Unit:				COVER – SPECIES COMPOSITION (METRIC) PROTOCOL  Mode:				Data Entry and Edit  Datasheet Location:		AKRO General Vegetation Information				   UV Fields: 			For Tree Species Only:  				UV1  	Height to Live Crown (cm)	  				UV2  	Height to ladder fuel (cm)  				UV3  	Average DBH (cm)  Comment			general notes, damage codes, descriptors  ___________________________________________________________  Unit: 				COVER – POINTS (METRIC)  Mode: 				Data Entry and Edit  Datasheet Location:		AKRO Vegetation Point Intercept Datasheet.   UV Fields:			UV1	Tree Damage Code or Status (e.g charred, scorched etc)  				UV2	“Seedling” or “Sapling” if indicated in notes	  				UV3	“Rotten” or “Solid” for 1000HR fuels  ______________________________________________________________  Unit: 				DENSITY- BELTS (METRIC)  Mode: 				Data Entry and Edit  Datasheet Location:		AKRO Tree Density   UV Fields: 			For trees (transect 1):   				UV1	 damage codes (e.g. “SPB” for spruce bark beetle)   				UV2	 plot area (square meters)  ______________________________________________________________________________  Unit:  				SOILS22 PROTOCOL  Mode:				Data Entry and Edit  Datasheet Location:		AKRO Active Layer/Soils   Comments:  			Surface Layer Fuel Code  ______________________________________________________________________________  Unit:  				SURFACE FUELS  Mode:				Data Entry and Edit Details  Datasheet Location		AKRO Down Woody Debris& Duff Depths  UV Fields:			UV1	decay status (either “solid” or “rotten)  				UV2	tree species of 1000HR fuel if known  				UV3	damage (e.g. burned, SPB)   ____________________________________________________________________________  Unit:				DISTURBANCE HISTORY  Mode: 				Data Entry and Edit  Datasheet Location:  		AKRO General Site Information Datasheet.  UV Fields			UV1	CBI value (total plot CBI value)  UV2	Fire Name if known  UV3	% of plot affected by change agent  Comment	 If exact disturbance date is not known or event is ongoing then explain in comments field  ","NOAT","2C2A Open Low Mixed Shrub-Sedge Tussock Tundra","2004","Uvgoon Creek Fire, A35A","Plot Marked: Yes","Marker Type: Rebar","",""
"127-A001",6/23/2004 8:15:32 PM,"G. Hook, D. Ostermann, L. Weddle","Plots beginning in A are controls and beginning in B are burned plots.  For example: A001 and B001 are pairs.     Fire Evidence includes: Charcoal      ",0,"UnBurnYear0","UnBurnYear0","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"127-A001",6/14/2005 2:35:37 PM,"D. Ostmann and Charlie Reynar","Plots beginning in A are controls and beginning in B are burned plots.  For example: A001 and B001 are pairs.     Fire Evidence includes: Charcoal  ",1,"UnBurnYear1","UnBurnYear1","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"127-A001",6/20/2007 3:27:59 PM,"Jennifer Barnes, Charlie Reynar, and Mary Booth","Plots beginning in A are controls and beginning in B are burned plots.  For example: A001 and B001 are pairs.     Fire Evidence includes: Charcoal    Shrub Density Notes: Shrub branches sprouting from a common area or within 10 cm were considered a single shrub. Shrub base has to be located in the plot to be counted. This plot has many shrubs where multiple branches come from a common base.  Did not differentiate between age class (mature, resprout, or seedling). No Salix or alder in this plot.",2,"UnBurnYear3","UnBurnYear3","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"127-A001",6/27/2013 2:46:13 PM,"Jennifer Barnes & Jennifer Northway","Plots beginning in A are controls and beginning in B are burned plots.  For example: A001 and B001 are pairs.     Fire Evidence includes: Charcoal    Rebar was left in place and put two magnets (with flagging) at posts 4"" below the surface. Site appears to be more shrubby that B001. Evidence of fire is apparent. Updated GPS coordinates collected with 2005 Trimble GeoXH, rover file: F062712B.",3,"UnBurnYear9","UnBurnYear9","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"127-A002",,"","",,"","","Pre- and Post- Fire Effects (PPF)","Trimble 2005 GeoXH","Control",67.781473,-162.210069,,,"","NAD83 (2011)",0,0.49,6/23/2004 9:26:57 PM,,,590,"ft",206,320,1,0,"Above-listed longitude and latitude are for 0 M end of plot.      Coordinates for 30m end: 67.781240, -162.210402   (Collected in 2013)    Plot Markers:  Wooden Stakes (original Rebar markers were missing and replaced with wooden stakes in 2007)","Declination used: 17 E","","Unit:  MACROPLOT,   Mode:	Project Management  Specific Location: “User Variables” Tab	  UV Fields: 			  UV1	Park Unit (e.g. YUCH, DENA, WRST)  UV2	Pre-Fire Viereck Class Code   UV3	Fire Year (year of most recent fire occurrence) or Treatment Year   UV4	Fire Name and/or Number.    UV5 	Plot Marked: (yes, no, or unknown)   UV6	Marker Type: (Wooden Stake, Rebar, etc.)  ______________________________________________________________________________  Unit:  				SAMPLING EVENT   Mode:				Project management  Specific Location:		Properties Tab  Datasheet Location:  		AKRO General Site Information Datasheet.    UV Fields:  			UV1 	Viereck Vegetation Class Current Year   				UV2 	“Fire Evidence” “Old Fire Evidence” “No Fire Evidence”  				UV3 	 Soil Moisture: “Wet” or “Moist” or “Dry”  ______________________________________________________________________________  Unit:				COVER – SPECIES COMPOSITION (METRIC) PROTOCOL  Mode:				Data Entry and Edit  Datasheet Location:		AKRO General Vegetation Information				   UV Fields: 			For Tree Species Only:  				UV1  	Height to Live Crown (cm)	  				UV2  	Height to ladder fuel (cm)  				UV3  	Average DBH (cm)  Comment			general notes, damage codes, descriptors  ___________________________________________________________  Unit: 				COVER – POINTS (METRIC)  Mode: 				Data Entry and Edit  Datasheet Location:		AKRO Vegetation Point Intercept Datasheet.   UV Fields:			UV1	Tree Damage Code or Status (e.g charred, scorched etc)  				UV2	“Seedling” or “Sapling” if indicated in notes	  				UV3	“Rotten” or “Solid” for 1000HR fuels  ______________________________________________________________  Unit: 				DENSITY- BELTS (METRIC)  Mode: 				Data Entry and Edit  Datasheet Location:		AKRO Tree Density   UV Fields: 			For trees (transect 1):   				UV1	 damage codes (e.g. “SPB” for spruce bark beetle)   				UV2	 plot area (square meters)  ______________________________________________________________________________  Unit:  				SOILS22 PROTOCOL  Mode:				Data Entry and Edit  Datasheet Location:		AKRO Active Layer/Soils   Comments:  			Surface Layer Fuel Code  ______________________________________________________________________________  Unit:  				SURFACE FUELS  Mode:				Data Entry and Edit Details  Datasheet Location		AKRO Down Woody Debris& Duff Depths  UV Fields:			UV1	decay status (either “solid” or “rotten)  				UV2	tree species of 1000HR fuel if known  				UV3	damage (e.g. burned, SPB)   ____________________________________________________________________________  Unit:				DISTURBANCE HISTORY  Mode: 				Data Entry and Edit  Datasheet Location:  		AKRO General Site Information Datasheet.  UV Fields			UV1	CBI value (total plot CBI value)  UV2	Fire Name if known  UV3	% of plot affected by change agent  Comment	 If exact disturbance date is not known or event is ongoing then explain in comments field  ","NOAT","2C2A Open Low Mixed Shrub-Sedge Tussock Tundra","2004","Uvgoon Creek Fire, A35A","Plot Marked: Yes","Marker Type: Wooden Stakes","",""
"127-A002",6/23/2004 9:30:03 PM,"Larry Weddle, Dan Ostmann and G. Hook","Plots beginning in A are controls and beginning in B are burned plots.  For example: A001 and B001 are pairs. ",0,"UnBurnYear0","UnBurnYear0","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"127-A002",6/15/2005 10:45:24 AM,"Charlie Reynar and Dan Ostmann","Plots beginning in A are controls and beginning in B are burned plots.  For example: A001 and B001 are pairs. ",1,"UnBurnYear1","UnBurnYear1","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"127-A002",6/27/2007 2:40:54 PM,"Jennifer Barnes and Charlie Reynar","Plots beginning in A are controls and beginning in B are burned plots.  For example: A001 and B001 are pairs.     Shrub density data collected in 6 (1m x 1m) subbelts along the 30m x 1m belt transect.  Subbelts are located at 0-1m, 5-6m, 10-11m, 15-16m, 20-21m, and 25-26m    Plot Markers:  Wooden Stakes (original Rebar markers were missing and replaced with wooden stakes in 2007)",2,"UnBurnYear3","UnBurnYear3","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"127-A002",6/29/2013 9:31:41 AM,"Jennifer Barnes & Jennifer Northway","Plots beginning in A are controls and beginning in B are burned plots.  For example: A001 and B001 are pairs.     Rebar and wooden stake at 0m end on the ground.  Placed rebar at the 0m end and wooden stake at 30m end. Could not locate 30m end, but with photos and azimuth, confident very close. Pink magnets placed at both transects ends approximately 4"" under the surface with flagging above ground. 0m end also tagged.    GPS coordinates updated with 2005 Trimble GeoXH.  Rover file: F062911A",3,"UnBurnYear9","UnBurnYear9","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
