MacroPlot Name,Date,Index,Transect,Point,Meter,Depth_Active_Layer_cm,Active_Layer_Boundary,Surface_Layer_Code,pH_soil,Percent_Moisture_Soil,Period_Moisture_Soil,Soil_temperature_C,Comments,UV1,UV2,UV3,Num_Transects,Transect_Length_m,Soil_Temperature_Depth_cm,Soil_Moisture_Depth_cm,Visited,
DENA-WIG-07,7/29/2014 9:59:55 AM,,,,,,,,,,,,,,,,1,16,12,,True,
DENA-WIG-07,7/29/2014 9:59:55 AM,-2147483648,1,1,2,45,PF,DM,,,,4.3,,,,,,,,,,
DENA-WIG-07,7/29/2014 9:59:55 AM,-2147483647,1,2,4,50,PF,Tussock,,,,7.6,,,,,,,,,,
DENA-WIG-07,7/29/2014 9:59:55 AM,-2147483646,1,3,6,40,PF,DM,,,,5,,,,,,,,,,
DENA-WIG-07,7/29/2014 9:59:55 AM,-2147483645,1,4,8,38,PF,Tussock,,,,4.2,,,,,,,,,,
DENA-WIG-07,7/29/2014 9:59:55 AM,-2147483644,1,5,10,39,PF,DM,,,,4.7,,,,,,,,,,
DENA-WIG-07,7/29/2014 9:59:55 AM,-2147483643,1,6,12,45,PF,DM,,,,6.3,,,,,,,,,,
DENA-WIG-07,7/29/2014 9:59:55 AM,-2147483642,1,7,14,53,PF,Tussock,,,,8.2,,,,,,,,,,
DENA-WIG-07,7/29/2014 9:59:55 AM,-2147483641,1,8,15,44,PF,SM,,,,6.9,,,,,,,,,,
A288-00-1352,7/18/2005 10:28:00 AM,,,,,,,,,,,,,,,,1,30,,,True,
A288-00-1352,7/18/2005 10:28:00 AM,-2147483648,1,1,3,69,PF,,,,,,,,,,,,,,,
A288-00-1352,7/18/2005 10:28:00 AM,-2147483647,1,2,6,63,PF,,,,,,,,,,,,,,,
A288-00-1352,7/18/2005 10:28:00 AM,-2147483646,1,3,9,53,PF,,,,,,,,,,,,,,,
A288-00-1352,7/18/2005 10:28:00 AM,-2147483645,1,4,12,54,PF,,,,,,,,,,,,,,,
A288-00-1352,7/18/2005 10:28:00 AM,-2147483644,1,5,15,84,PF,,,,,,,,,,,,,,,
A288-00-1352,7/18/2005 10:28:00 AM,-2147483643,1,6,18,77,PF,,,,,,,,,,,,,,,
A288-00-1352,7/18/2005 10:28:00 AM,-2147483642,1,7,21,51,PF,,,,,,,,,,,,,,,
A288-00-1352,7/18/2005 10:28:00 AM,-2147483641,1,8,24,46,PF,,,,,,,,,,,,,,,
A288-00-1352,7/18/2005 10:28:00 AM,-2147483640,1,9,27,62,PF,,,,,,,,,,,,,,,
A288-00-1352,7/18/2005 10:28:00 AM,-2147483639,1,10,29,69,PF,,,,,,,,,,,,,,,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,,,,,,,,,,,,,,,,1,0,12,12,True,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,-2147483648,1,1,,,,FM,,14,0.88,,AULAC2,6,,,,,,,,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,-2147483647,1,1,,,,FM,,36,1.01,6.6,AULAC2,12,,,,,,,,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,-2147483646,1,2,,,,SM,,20,0.91,,SPHAG,6,,,,,,,,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,-2147483645,1,2,,,,SM,,42,1.04,1.4,SPHAG,12,,,,,,,,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,-2147483644,1,3,,,,SM,,37,1.02,,SPHAG,6,,,,,,,,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,-2147483643,1,3,,,,SM,,9,0.84,1.8,SPHAG,12,,,,,,,,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,-2147483642,1,4,,,,SM,,23,0.93,,SPHAG,6,,,,,,,,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,-2147483641,1,4,,,,SM,,27,0.96,1.3,SPHAG,12,,,,,,,,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,-2147483640,1,5,,,,FM,,27,0.96,,AULAC2,6,,,,,,,,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,-2147483639,1,5,,,,FM,,30,0.98,3.4,AULAC2,12,,,,,,,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,,,,,,,,,,,,,,,,1,0,12,12,True,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483648,1,1,,,,FM,,16,0.89,,FM (AULAC; POJU); SPHAG,6,,,,,,,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483647,1,1,,,,FM,,48,1.08,2.6,FM (AULAC; POJU); SPHAG,12,,,,,,,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483646,1,2,,,,SM,,12,0.86,,SPHAG,6,,,,,,,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483645,1,2,,,,SM,,31,0.98,2.7,SPHAG,12,,,,,,,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483644,1,3,,,,SM,,12,0.86,,SPHAG; FM (AULAC),6,,,,,,,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483643,1,3,,,,SM,,14,0.87,2.1,SPHAG; FM (AULAC),12,,,,,,,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483642,1,4,,,,SM,,38,1.02,,SPHAG; FM (POJU),6,,,,,,,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483641,1,4,,,,SM,,76,1.21,2,SPHAG; FM (POJU),12,,,,,,,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483640,1,5,,,,FM,,16,0.89,,FM (AULAC); SPHAG,6,,,,,,,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483639,1,5,,,,FM,,23,0.94,1.7,FM (AULAC); SPHAG,12,,,,,,,,
A391-90-54,7/6/2005 1:15:36 PM,,,,,,,,,,,,,,,,1,30,,,True,
A391-90-54,7/6/2005 1:15:36 PM,-2147483648,1,1,3,70,PF,,,,,,,,,,,,,,,
A391-90-54,7/6/2005 1:15:36 PM,-2147483647,1,2,6,33,PF,,,,,,,,,,,,,,,
A391-90-54,7/6/2005 1:15:36 PM,-2147483646,1,3,9,51,PF,,,,,,,,,,,,,,,
A391-90-54,7/6/2005 1:15:36 PM,-2147483645,1,4,12,45,PF,,,,,,,,,,,,,,,
A391-90-54,7/6/2005 1:15:36 PM,-2147483644,1,5,15,67,UNK,,,,,,Mineral Soil,,,,,,,,,
A391-90-54,7/6/2005 1:15:36 PM,-2147483643,1,6,18,55,UNK,,,,,,Mineral Soil,,,,,,,,,
A391-90-54,7/6/2005 1:15:36 PM,-2147483642,1,7,21,55,PF,,,,,,,,,,,,,,,
A391-90-54,7/6/2005 1:15:36 PM,-2147483641,1,8,24,67,PF,,,,,,,,,,,,,,,
A391-90-54,7/6/2005 1:15:36 PM,-2147483640,1,9,27,41,PF,,,,,,,,,,,,,,,
A391-90-54,7/6/2005 1:15:36 PM,-2147483639,1,10,29,38,PF,,,,,,,,,,,,,,,
A391-90-54,7/27/2011 1:51:02 PM,,,,,,,,,,,,,,,,1,30,12,12,True,
