RegistrationUnit_Name,ProjectUnit_Name,MacroPlot_Name,Multi_PU,SampleEvent_Date,SampleEvent_LegacyMonitoringStatus,MonitoringStatus_Name,Protocols,Visited
"AKWEST","BELA-Fairhaven-HZF","BELA-FAIR-01","N",6/19/2012 1:31:55 PM,"PreTreatmentYear0","PreTreatmentYear0","Cover - Species Composition (metric)","Y"
"AKWEST","BELA-Fairhaven-HZF","BELA-FAIR-01","N",6/19/2012 1:31:55 PM,"PreTreatmentYear0","PreTreatmentYear0","SOILS","Y"
"AKWEST","BELA-Fairhaven-HZF","BELA-FAIR-01","N",6/19/2012 1:31:55 PM,"PreTreatmentYear0","PreTreatmentYear0","Disturbance History","Y"
"AKWEST","BELA-Fairhaven-HZF","BELA-FAIR-01","N",6/19/2012 1:31:55 PM,"PreTreatmentYear0","PreTreatmentYear0","Cover - Points (metric)","Y"
"AKWEST","BELA-Fairhaven-HZF","BELA-FAIR-01","N",6/21/2012 1:14:56 PM,"PostTreatmentYear0","PostTreatmentYear0","Cover - Points (metric)","Y"
"AKWEST","BELA-Fairhaven-HZF","BELA-FAIR-01","N",6/21/2012 1:14:56 PM,"PostTreatmentYear0","PostTreatmentYear0","SOILS","Y"
"AKWEST","BELA-Fairhaven-HZF","BELA-FAIR-01","N",6/21/2012 1:14:56 PM,"PostTreatmentYear0","PostTreatmentYear0","Disturbance History","Y"
"AKWEST","BELA-Fairhaven-HZF","BELA-FAIR-02","N",6/19/2012 10:38:42 AM,"PreTreatmentYear0","PreTreatmentYear0","SOILS","N"
"AKWEST","BELA-Fairhaven-HZF","BELA-FAIR-02","N",6/19/2012 10:38:42 AM,"PreTreatmentYear0","PreTreatmentYear0","Disturbance History","Y"
"AKWEST","BELA-Fairhaven-HZF","BELA-FAIR-02","N",6/19/2012 10:38:42 AM,"PreTreatmentYear0","PreTreatmentYear0","Cover - Points (metric)","Y"
"AKWEST","BELA-Fairhaven-HZF","BELA-FAIR-02","N",6/19/2012 10:38:42 AM,"PreTreatmentYear0","PreTreatmentYear0","Cover - Species Composition (metric)","Y"
"AKWEST","BELA-Fairhaven-HZF","BELA-FAIR-02","N",6/21/2012 1:49:05 PM,"PostTreatmentYear0","PostTreatmentYear0","Disturbance History","Y"
"AKWEST","BELA-Fairhaven-HZF","BELA-FAIR-02","N",6/21/2012 1:49:05 PM,"PostTreatmentYear0","PostTreatmentYear0","Cover - Points (metric)","Y"
"AKWEST","BELA-Fairhaven-HZF","BELA-FAIR-02","N",6/21/2012 1:49:05 PM,"PostTreatmentYear0","PostTreatmentYear0","SOILS","Y"
"AKWEST","BELA-Fairhaven-HZF","BELA-FAIR-03","N",6/19/2012 11:11:26 AM,"PreTreatmentYear0","PreTreatmentYear0","Cover - Species Composition (metric)","Y"
"AKWEST","BELA-Fairhaven-HZF","BELA-FAIR-03","N",6/19/2012 11:11:26 AM,"PreTreatmentYear0","PreTreatmentYear0","SOILS","N"
"AKWEST","BELA-Fairhaven-HZF","BELA-FAIR-03","N",6/19/2012 11:11:26 AM,"PreTreatmentYear0","PreTreatmentYear0","Disturbance History","Y"
"AKWEST","BELA-Fairhaven-HZF","BELA-FAIR-03","N",6/19/2012 11:11:26 AM,"PreTreatmentYear0","PreTreatmentYear0","Cover - Points (metric)","Y"
"AKWEST","BELA-Fairhaven-HZF","BELA-FAIR-03","N",6/21/2012 4:10:21 PM,"PostTreatmentYear0","PostTreatmentYear0","Cover - Points (metric)","Y"
"AKWEST","BELA-Fairhaven-HZF","BELA-FAIR-03","N",6/21/2012 4:10:21 PM,"PostTreatmentYear0","PostTreatmentYear0","Disturbance History","Y"
"AKWEST","BELA-Fairhaven-HZF","BELA-FAIR-03","N",6/21/2012 4:10:21 PM,"PostTreatmentYear0","PostTreatmentYear0","SOILS","Y"
"AKWEST","BELA-Fairhaven-HZF","BELA-FAIR-04","N",6/19/2012 12:18:24 PM,"PreTreatmentYear0","PreTreatmentYear0","Cover - Points (metric)","Y"
"AKWEST","BELA-Fairhaven-HZF","BELA-FAIR-04","N",6/19/2012 12:18:24 PM,"PreTreatmentYear0","PreTreatmentYear0","SOILS","N"
"AKWEST","BELA-Fairhaven-HZF","BELA-FAIR-04","N",6/19/2012 12:18:24 PM,"PreTreatmentYear0","PreTreatmentYear0","Disturbance History","Y"
"AKWEST","BELA-Fairhaven-HZF","BELA-FAIR-04","N",6/19/2012 12:18:24 PM,"PreTreatmentYear0","PreTreatmentYear0","Cover - Species Composition (metric)","Y"
"AKWEST","BELA-Fairhaven-HZF","BELA-FAIR-04","N",6/21/2012 4:49:56 PM,"PostTreatmentYear0","PostTreatmentYear0","SOILS","Y"
"AKWEST","BELA-Fairhaven-HZF","BELA-FAIR-04","N",6/21/2012 4:49:56 PM,"PostTreatmentYear0","PostTreatmentYear0","Disturbance History","Y"
