MacroPlot Name,Date,Index,Transect,SampLoc,OffSet,LittDep,LiveMoss,DeadMoss,UppDuffDep,LowDuffDep,LichDep,FuelbedDep,ExpDLFuConSt,Comment,UV1,UV2,UV3,NumTran,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,
A288-00-1352,7/18/2005 10:28:00 AM,,,,,,,,,,,,,,,,,1,Stinchfield; Olson,J. Hrobak,Surface layer burn severity,Surface layer code at point where duff plug is taken ,Sample Location,,True,
A288-00-1352,7/18/2005 10:28:00 AM,-2147483648,1,1,False,0,0,0,10,5,0,15,Default,,,,0m,,,,,,,,,
A288-00-1352,7/18/2005 10:28:00 AM,-2147483647,1,2,False,0,2,14,8,,0,,Default,Lower duff present but not measured (deep),,,30m,,,,,,,,,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,,,,,,,,,,,,,,,,,1,,,,,,,True,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,-2147483648,1,1,False,0,3,1.5,7,4,,15.5,Default,,unburned,FM,,,,,,,,,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,,,,,,,,,,,,,,,,,1,,,,,,,True,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483648,1,1,False,0,0,9,1,5,0,16,Default,likely feathermoss surface layer pre-fire (AULAC; lower duff to mineral soil/clay with roots in it,burned- moderate/high,DM,,,,,,,,,,
A391-90-54,7/6/2005 1:15:36 PM,,,,,,,,,,,,,,,,,1,Allen; Parker; Stinchfield,J. Hrobak,Surface layer burn severity,Surface layer code at point where duff plug is taken ,Sample Location,,True,
A391-90-54,7/6/2005 1:15:36 PM,-2147483648,1,1,False,,,,,,,,Default,SWAMP - No Measurements Taken,,,,,,,,,,,,
A391-90-54,7/27/2011 1:51:02 PM,,,,,,,,,,,,,,,,,1,,,,,,,True,
A391-90-54,7/27/2011 1:51:02 PM,-2147483648,1,6,True,0,0.5,0.5,4,9,0,14,Default,,,,,,,,,,,,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483647,1,18,False,0,2,2.5,9,18,0,31.5,Default,,,,,,,,,,,,,
NOAT-SID-G01,6/24/2011 6:39:19 PM,,,,,,,,,,,,,,,,,1,,,,,,,True,
NOAT-SID-G01,6/24/2011 6:39:19 PM,-2147483648,1,1,False,,,,,,,,Default,no data collected,,,,,,,,,,,,
DENA-HQ-TX-08,6/24/2021 2:26:42 PM,,,,,,,,,,,,,,,,,1,J Barnes; K Gates; J OConnor,J OConnor,Surface layer burn severity,Surface layer code at point where duff plug is taken,Sample Location,,True,
DENA-HQ-TX-08,6/24/2021 2:26:42 PM,-2147483648,1,1,False,,3,2,4.5,2,,11.5,Default,,,HYSP,0m,,,,,,,,,
DENA-HQ-TX-08,6/24/2021 2:26:42 PM,-2147483647,1,2,False,,5.25,5,4,3.5,,17.75,Default,,,HYSP,16m,,,,,,,,,
DENA-HQ-TX-08,6/22/2023 12:09:39 PM,,,,,,,,,,,,,,,,,1,,S. Stehn,Surface layer burn severity,Surface layer code at point where duff plug is taken,Sample Location,,True,
DENA-HQ-TX-08,6/22/2023 12:09:39 PM,1,1,1,False,2,4,3,8,2.5,0,19.5,Default,,,HYLSPL,0m,,,,,,,,,
DENA-HQ-TX-08,6/22/2023 12:09:39 PM,2,1,2,False,1,3,4,7,3,0,18,Default,,,HYLSPL,16m,,,,,,,,,
DENA-A274-G1,8/17/2016 8:46:09 AM,,,,,,,,,,,,,,,,,1,Rachel Loehman,J. Hrobak,Surface layer burn severity,Surface layer code at point where duff plug is taken,,,True,
DENA-A274-G1,8/17/2016 8:46:09 AM,-2147483648,1,1,False,0,2,2,13,,0.2,17,Default,Sampled to water.  Did not reach LD.,,,,,,,,,,,,
DENA-A274-G1,8/17/2016 8:46:09 AM,-2147483647,1,2,False,0,4,4,13,,0.2,21,Default,Sampled to water.  Did not reach LD.,,,,,,,,,,,,
DENA-A274-G1,8/17/2016 8:46:09 AM,-2147483646,1,3,False,0.5,1.5,2,20,2,1,27,Default,Sampled to water. Did not reach mineral soil.,,,,,,,,,,,,
DENA-TLS-32,6/28/2022 2:51:48 PM,,,,,,,,,,,,,,,,,1,M. Behrens; . Schaub; R. Brand,M. Behrens,Surface layer burn severity,Surface layer code at point where duff plug is taken ,Sample Location,,True,
DENA-TLS-32,6/28/2022 2:51:48 PM,-2147483648,1,1,False,0,7,11,8,3,0,29,Default,,,DUFF,0M,,,,,,,,,
DENA-TLS-32,6/28/2022 2:51:48 PM,-2147483647,1,2,False,0,4,3,2,3,0,12,Default,,,DUFF,16M,,,,,,,,,
DENA-HZF-Z3-22,6/13/2003 5:50:37 PM,,,,,,,,,,,,,,,,,1,,,,,,,True,
DENA-HZF-Z3-22,6/13/2003 5:50:37 PM,-2147483648,1,0,False,,11,10,5,4,,30,Default,,,,,,,,,,,,,
DENA-HZF-Z3-22,6/13/2003 5:50:37 PM,-2147483647,1,16,False,,7,8,5,4,,24,Default,,,,,,,,,,,,,
DENA-HZF-Z3-22,6/14/2005 3:33:24 PM,,,,,,,,,,,,,,,,,1,,,,,,,True,
DENA-HZF-Z3-22,6/14/2005 3:33:24 PM,-2147483648,1,0,False,3,3,4,6,4,,20,Default,,,,,,,,,,,,,
DENA-HZF-Z3-22,6/14/2005 3:33:24 PM,-2147483647,1,16,False,0.5,2,1.5,5,2,0.5,11.5,Default,,,,,,,,,,,,,
DENA-HZF-Z3-22,7/22/2009 4:51:28 PM,,,,,,,,,,,,,,,,,1,J Mitchell; R Wilson; M Llanes; C Campanelli,J Mitchell,Surface layer burn severity,Surface layer code at point where duff plug is taken,Sample Location,,True,
DENA-HZF-Z3-22,7/22/2009 4:51:28 PM,-2147483648,1,1,False,,,,,20,,20,Default,to mineral,,,0m,,,,,,,,,
DENA-HZF-Z3-22,7/22/2009 4:51:28 PM,-2147483647,1,2,False,,,,,17,,17,Default,to rock,,,16m,,,,,,,,,
DENA-HZF-Z3-22,8/12/2021 5:29:08 PM,,,,,,,,,,,,,,,,,1,J OConnor,J OConnor,Surface layer burn severity,Surface layer code at point where duff plug is taken,Sample Location,,True,
DENA-HZF-Z3-22,8/12/2021 5:29:08 PM,-2147483648,1,1,False,,,1.5,9,4,4,18.5,Default,,,CLRA,0m,,,,,,,,,
DENA-HZF-Z3-22,8/12/2021 5:29:08 PM,-2147483647,1,2,False,,4.5,3,8,4,,19.5,Default,,,HYSP,16m,,,,,,,,,
NOAT-SID-G06,6/24/2011 10:03:58 AM,,,,,,,,,,,,,,,,,1,,,,,,,True,
NOAT-SID-G06,6/24/2011 10:03:58 AM,-2147483648,1,1,False,,,,,,,,Default,no data collected,,,,,,,,,,,,
DENA-TLS-18,7/13/2022 5:08:33 PM,,,,,,,,,,,,,,,,,1,T. Schaub; N. Tilges,M; Behrens,Surface layer burn severity,Surface layer code at point where duff plug is taken ,Sample Location,,True,
DENA-TLS-18,7/13/2022 5:08:33 PM,-2147483648,1,1,False,0,6,5,3,8,0,22,Default,,,DUFF,0M,,,,,,,,,
DENA-TLS-18,7/13/2022 5:08:33 PM,-2147483647,1,2,False,1,3,3,3,7,0,16,Default,,,DUFF,16M,,,,,,,,,
DENA-A274-G3,8/16/2016 3:44:30 PM,,,,,,,,,,,,,,,,,1,Rachel Loehman,J. Hrobak,Surface layer burn severity,Surface layer code at point where duff plug is taken,,,True,
DENA-A274-G3,8/16/2016 3:44:30 PM,-2147483648,1,1,False,0.2,,25,,,2,27,Default,Sampled in SM. Did not reach upper or lower duff,,,,,,,,,,,,
DENA-A274-G3,8/16/2016 3:44:30 PM,-2147483647,1,2,False,,2,15,2,5,1,25,Default,DM was SM.,,,,,,,,,,,,
DENA-A274-G3,8/16/2016 3:44:30 PM,-2147483646,1,3,False,0.2,0.5,5,7,3,0.2,15.5,Default,DM was half SM.,,,,,,,,,,,,
A185-86-137,7/26/2011 1:50:00 PM,,,,,,,,,,,,,,,,,1,,,,,,,True,
A185-86-137,7/26/2011 1:50:00 PM,-2147483648,1,1,True,0,3,0,15,0,0,18,Default,unknown fuelbed depth; greater than plug depth.  Upper duff = sphagnum duff,,,,,,,,,,,,
A185-86-137,7/26/2011 1:50:00 PM,-2147483647,1,18,False,0.2,0,0,0,17,0,17.2,Default,,,,,,,,,,,,,
