MacroPlot Name,Date,Index,Transect,Azimuth,Slope,OneHr,TenHr,HunHr,FWDFuConSt,Comment,UV1,UV2,UV3,NumTran,OneHrTranLen,TenHrTranLen,HunHrTranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,
A391-90-54,7/27/2011 1:51:02 PM,,,,,,,,,,,,,1,6.6,13.1,98,,,,,,,True,
A391-90-54,7/27/2011 1:51:02 PM,-2147483648,1,64,0,1,0,0,Default,,,,,,,,,,,,,,,,
DENA-HQ-TX-08,6/24/2021 2:26:42 PM,,,,,,,,,,,,,1,6,6,12,J Barnes; K Gates; J O'Connor,J O'Connor,,,,,True,
DENA-HQ-TX-08,6/24/2021 2:26:42 PM,-2147483648,1,180,0,7,2,0,Default,,,,,,,,,,,,,,,,
DENA-HQ-TX-08,6/22/2023 12:09:39 PM,,,,,,,,,,,,,1,6,6,12,,S. Stehn,,,,,True,
DENA-HQ-TX-08,6/22/2023 12:09:39 PM,-2147483648,1,182,5,12,1,0,Default,,,,,,,,,,,,,,,,
DENA-A274-G1,8/17/2016 8:46:09 AM,,,,,,,,,,,,,1,12,12,98,Rachel Loehman,J. Hrobak,,,,,True,
DENA-A274-G1,8/17/2016 8:46:09 AM,-2147483648,1,20,0,0,0,0,Default,Some fuels along the transect but not 0-12ft for 1's and 10's. 100's were just off transect.,,,,,,,,,,,,,,,
DENA-TLS-32,6/28/2022 2:51:48 PM,,,,,,,,,,,,,1,6,6,12,M. Behrens T. Schaub R. Brand,M. behrens,,,,,True,
DENA-TLS-32,6/28/2022 2:51:48 PM,-2147483648,1,180,2,2,0,0,Default,,,,,,,,,,,,,,,,
DENA-HZF-Z3-22,6/13/2003 5:50:37 PM,,,,,,,,,,,,,1,6,6,12,,,,,,,True,
DENA-HZF-Z3-22,6/13/2003 5:50:37 PM,-2147483648,1,180,8,0,0,0,Default,,,,,,,,,,,,,,,,
DENA-HZF-Z3-22,6/14/2005 3:33:24 PM,,,,,,,,,,,,,1,6,6,12,,,,,,,True,
