MacroPlot Name,Date,Index,IsVerified,QTR,SubFrac,TagNo,Status,DBH,Ht,CrwnRto,CrwnCl,LiCrBHt,CrFuBHt,CrwnRad,Age,GrwthRt,Mort,DecayCl,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,MacroPlotSize,SnagPlotSize,BrkPntDia,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species Symbol,Visited,
A288-00-1352,7/18/2005 10:28:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.003,0,,,,,,,,True,
A288-00-1352,7/18/2005 10:28:00 AM,1001,True,,1,1,L,4.2,2.7,,X,0.96,0,0.66,,,,,0.62,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,PIMA,,
A391-90-54,7/6/2005 1:15:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.003,0,,,,,,,,True,
A391-90-54,7/6/2005 1:15:36 PM,1001,True,,1,1,L,1.6,2.6,,X,0.6,0.2,0.51,,,,,0.46,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,LALA,,
A391-90-54,7/6/2005 1:15:36 PM,1002,True,,1,2,L,3.6,4,,X,0.3,0.14,1.01,,,,,0.3,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,LALA,,
A391-90-54,7/18/2006 3:31:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.003,0,,,,,,,,True,
A391-90-54,7/18/2006 3:31:20 PM,1001,True,,1,1,L,1.5,2.1,,SC,0.35,0.05,0.3,,,,,0.35,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,LALA,,
A391-90-54,7/18/2006 3:31:20 PM,1002,True,,1,2,L,3.75,3.3,,SC,0.45,0.05,0.7,,,,,0.45,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,LALA,,
A391-90-54,7/27/2011 1:51:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.003,0,,,,,,,,True,
A391-90-54,7/27/2011 1:51:02 PM,-2147483648,True,,1,1,L,2.5,3.33,,,0.79,0.19,0.84,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,25.95,,,,,,,,,,,,LALA,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483647,True,,1,2,L,6.5,4.5,,,0.37,0,1.12,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,25.60,,,,,,,,,,,,LALA,,
DENA-HQ-TX-08,6/24/2021 2:26:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,0.005,0,J Barnes; K Gates; J OConnor,J OConnor,Tree location in relation to transect (meters value),Additional comments on tree damage,,,,True,
DENA-HQ-TX-08,6/24/2021 2:26:42 PM,-2147483648,True,,1,1,L,1.3,2.04,,,0.83,0,0.47,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIGL,,
DENA-HQ-TX-08,6/24/2021 2:26:42 PM,-2147483647,True,,1,2,L,2.7,2.6,,,1.33,0,1.23,,,,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIGL,,
DENA-HQ-TX-08,6/24/2021 2:26:42 PM,-2147483646,True,,1,3,L,9.2,9.2,,,3.6,0.26,0.7,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIGL,,
DENA-HQ-TX-08,6/24/2021 2:26:42 PM,-2147483645,True,,1,4,L,11.7,8.5,,,0.8,0,1.2,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIGL,,
DENA-HQ-TX-08,6/24/2021 2:26:42 PM,-2147483644,True,,1,5,L,11,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR5,,
DENA-HQ-TX-08,6/24/2021 2:26:42 PM,-2147483643,True,,1,6,L,8.3,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR5,,
DENA-HQ-TX-08,6/24/2021 2:26:42 PM,-2147483642,True,,1,7,L,12.6,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR5,,
DENA-HQ-TX-08,6/24/2021 2:26:42 PM,-2147483641,True,,1,8,L,17.3,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR5,,
DENA-HQ-TX-08,6/24/2021 2:26:42 PM,-2147483640,True,,1,9,L,19.9,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTR5,,
DENA-HQ-TX-08,6/24/2021 2:26:42 PM,-2147483639,True,,1,10,L,7.3,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POBA2,,
DENA-HQ-TX-08,6/22/2023 12:09:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0,,Sarah Stehn,Tree location in relation to transect (meters value),Additional comments on tree damage ,,,,True,
DENA-HQ-TX-08,6/22/2023 12:09:39 PM,1,False,,1,1,L,,1.48,,,0.07,0.09,0.17,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,3.47m from center @ 9 degrees,,,,,,,,,,,,PIGL,,
DENA-HQ-TX-08,6/22/2023 12:09:39 PM,2,False,,1,2,L,,2.6,,,1.03,0.14,0.35,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,7.7m from center @ 56 degrees,,,,,,,,,,,,PIGL,,
DENA-HQ-TX-08,6/22/2023 12:09:39 PM,3,False,,1,3,L,,6.8,,,1.5,1.25,0.41,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,5.9m from center @ 59 degrees,,,,,,,,,,,,PIGL,,
DENA-HQ-TX-08,6/22/2023 12:09:39 PM,4,False,,1,4,L,,5.3,,,1.3,1.3,0.57,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,6.9m from center @ 78 degrees,,,,,,,,,,,,PIGL,,
DENA-HQ-TX-08,6/22/2023 12:09:39 PM,5,False,,1,5,L,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2m from center @ 144 degrees,,,,,,,,,,,,POTR5,,
DENA-HQ-TX-08,6/22/2023 12:09:39 PM,6,False,,1,6,L,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8m from center @ 158 degrees,,,,,,,,,,,,POTR5,,
DENA-HQ-TX-08,6/22/2023 12:09:39 PM,7,False,,1,7,L,,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2m from center @ 94 degrees,,,,,,,,,,,,POTR5,,
DENA-HQ-TX-08,6/22/2023 12:09:39 PM,8,False,,1,8,L,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7m from center @ 127 degrees,,,,,,,,,,,,POTR5,,
DENA-HQ-TX-08,6/22/2023 12:09:39 PM,9,False,,1,9,L,,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3m from center @ 164 degrees,,,,,,,,,,,,POTR5,,
DENA-HQ-TX-08,6/22/2023 12:09:39 PM,10,False,,1,10,L,,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3m from center @ 222 degrees,,,,,,,,,,,,POTR5,,
DENA-HQ-TX-08,6/22/2023 12:09:39 PM,11,False,,1,11,L,,6.6,,,1.4,1.71,0.75,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,7.36m from center @ 302 degrees,,,,,,,,,,,,PIGL,,
DENA-HQ-TX-08,6/22/2023 12:09:39 PM,12,False,,1,12,L,,9.8,,,0.87,0.51,0.9,,,,,0.87,,,,,,,,,,,,,,,,,,,,,,,3.5m from center @ 56 degrees,,,,,,,,,,,,PIGL,,
DENA-A274-G1,8/17/2016 8:46:09 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.003,0,Rachel Loehman,J. Hrobak,Tree location in relation to transect (meters value),Additional comments on tree damage,,,,True,
DENA-A274-G1,8/17/2016 8:46:09 AM,-2147483648,True,,1,100,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No live trees.,,,,,,,,,,,,,UNKN_100,,
DENA-TLS-32,6/28/2022 2:51:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0,M Behrens T Schaub R Brand,M Behrens,Tree location in relation to transect (meters value),Additional comments on tree damage,,,,True,
DENA-TLS-32,6/28/2022 2:51:48 PM,-2147483648,True,,3,1,L,14.5,10,,,3.6,4.9,1.24,,,,,0,,,,,,,,,,,,,,,,,,,,,,,6.54SW,,,,,,,,,,,,PIMA,,
DENA-TLS-32,6/28/2022 2:51:48 PM,-2147483647,True,,3,2,L,3.1,3.18,,,0.57,0.57,0.74,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,3.25SW,,,,,,,,,,,,PIGL,,
DENA-TLS-32,6/28/2022 2:51:48 PM,-2147483646,True,,1,3,L,4.8,3.9,,,1.12,2,0.65,,,,,0,,,,,,,,,,,,,,,,,,,,,,,5.54NE,,,,,,,,,,,,PIGL,,
DENA-TLS-32,6/28/2022 2:51:48 PM,-2147483645,True,,4,4,L,8.5,6.5,,,0.91,2.4,0.4,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,7.40NW,,,,,,,,,,,,PIGL,,
